"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007017","microtubule-based process","133/882","548/7601",0.242700729927007,2.09157397752288,9.61048442633068,3.95888551151655e-18,2.11206542039408e-14,2.05903719077929e-14,"BLOC1S4/BORCS6/CCDC120/CCDC66/DNAL4/EFNA5/ENKD1/IFT57/IFT81/KIF5B/KLC4/KXD1/PCLAF/PIBF1/SAPCD2/SPICE1/SS18/STMN3/ZBED3/ABL1/APC/ATAT1/ATG16L1/BAG3/BLOC1S1/BLOC1S5/BLOC1S6/BORCS5/CAMSAP1/CAMSAP2/CCDC88A/CCDC88C/CCNB1/CDKN1B/CDR2L/CENPE/CENPJ/CEP128/CEP131/CEP135/CEP20/CEP250/CEP350/CEP85/CFAP298/CGN/CHMP1A/CHMP3/CHMP4A/CHMP4B/CHMP4C/CHMP5/CKAP2/CLIP1/CLIP2/CNTROB/CRIPT/CROCC/DAG1/DCTN3/DIAPH3/DLGAP5/DNAJA1/DNAL1/DYNC1I1/DYNC1LI1/DYNLRB1/FAM110A/FLNA/FMN2/GCC2/GTSE1/HAUS1/HAUS7/HAUS8/HOOK2/HOOK3/IFT74/KATNA1/KATNBL1/KIF5A/KIF7/KLC1/KLC2/KLC3/KNSTRN/LSM14A/MAP1A/MAP1S/MAP7/MAP7D1/MAP7D2/MAP7D3/MAP9/MYH9/NAV1/NCKAP5L/NCOR1/NDC80/NDE1/OCLN/ODF2/PCM1/PCNT/PDE4DIP/PHLDB1/PPP1R12A/PPP1R35/PSRC1/RHOA/RNF4/ROCK1/SASS6/SDCCAG8/SKA1/SKA2/SKA3/SLAIN1/SLAIN2/SNAPIN/SPAST/SPDL1/SRGAP2/SSNA1/STMN1/TACC3/TPGS1/TPPP/TPX2/TRAF3IP1/TXNDC9/UXT/VBP1",133
"GO:0097435","supramolecular fiber organization","114/882","465/7601",0.245161290322581,2.11277887499086,8.97215352551346,6.36715649723808e-16,1.69843899563826e-12,1.65579580278175e-12,"CARMIL2/CDC42EP1/CDKN2A/DMTN/FURIN/STMN3/VHL/WASF1/WASF2/ZBED3/ABI1/ABI2/ABL1/ADD2/AGFG1/APC/ARFIP1/ARFIP2/ARHGAP17/ARHGEF18/ARPC3/BAIAP2/BAX/BIN1/BIN3/BLOC1S6/BRK1/CALD1/CAMSAP1/CAMSAP2/CAPG/CARMIL1/CCDC88A/CCDC88C/CD2AP/CDC42EP4/CDKN1B/CENPJ/CKAP2/CLIP1/CLIP2/CNN2/CNN3/COBL/COL2A1/CRACD/CRIPT/CSRP2/CTTN/DIAPH3/ENAH/EPS8/FCHSD2/FKBP1A/FLNA/FMN2/GPX1/HAUS1/HAUS7/HAUS8/HOOK2/HOOK3/JMY/KATNA1/KATNBL1/LATS1/LMOD1/MAP1A/MAP1S/MAP7D3/MICAL3/MSRB2/MTPN/NCKAP5L/NDE1/NEBL/OCLN/PAWR/PCM1/PCNT/PDE4DIP/PDLIM1/PFDN1/PFDN2/PFDN5/PFDN6/PSRC1/RHOA/RIPK1/ROCK1/RUFY3/SH3KBP1/SHROOM1/SHTN1/SKA1/SLAIN1/SLAIN2/SPAST/SSNA1/STMN1/TAGLN2/TAGLN3/TMOD3/TPPP/TPX2/VASP/VBP1/WASF3/WASH6P/WASHC2A/WASHC2C/WIPF1/WIPF3/ZYX",114
"GO:0000226","microtubule cytoskeleton organization","103/882","409/7601",0.251833740831296,2.17028147852458,8.81487005540098,2.82117647341968e-15,5.01699216189799e-12,4.89102910707601e-12,"CCDC120/CCDC66/EFNA5/ENKD1/PCLAF/PIBF1/SAPCD2/SPICE1/SS18/STMN3/ZBED3/ABL1/APC/ATAT1/CAMSAP1/CAMSAP2/CCDC88A/CCDC88C/CCNB1/CDKN1B/CENPE/CENPJ/CEP131/CEP135/CEP20/CEP250/CEP350/CEP85/CGN/CHMP1A/CHMP3/CHMP4A/CHMP4B/CHMP4C/CHMP5/CKAP2/CLIP1/CLIP2/CNTROB/CRIPT/CROCC/DAG1/DIAPH3/DLGAP5/DNAL1/DYNC1LI1/FAM110A/FLNA/FMN2/GCC2/HAUS1/HAUS7/HAUS8/HOOK2/HOOK3/KATNA1/KATNBL1/KNSTRN/LSM14A/MAP1A/MAP1S/MAP7/MAP7D1/MAP7D2/MAP7D3/MAP9/MYH9/NAV1/NCKAP5L/NCOR1/NDC80/NDE1/OCLN/ODF2/PCM1/PCNT/PDE4DIP/PHLDB1/PPP1R12A/PPP1R35/PSRC1/RHOA/RNF4/ROCK1/SASS6/SDCCAG8/SKA1/SKA2/SKA3/SLAIN1/SLAIN2/SPAST/SPDL1/SRGAP2/SSNA1/STMN1/TACC3/TPGS1/TPPP/TPX2/TRAF3IP1/TXNDC9/UXT",103
"GO:0051493","regulation of cytoskeleton organization","84/882","333/7601",0.252252252252252,2.17388817388817,7.93652069466473,1.18640758794656e-12,1.58237112042372e-09,1.54264207685367e-09,"CARMIL2/CDC42EP1/DMTN/EFNA5/NAA20/STMN3/WASF1/WASF2/ABI2/ABL1/ABL2/ADD2/APC/ARFIP1/ARFIP2/ARHGAP17/ARHGEF16/ARHGEF18/ARPC3/ATAT1/BAIAP2/BIN1/BRK1/CAMSAP1/CAMSAP2/CAPG/CARMIL1/CCDC88A/CCDC88C/CD2AP/CDC42EP4/CDKN1B/CENPJ/CHMP1A/CHMP3/CHMP4A/CHMP4B/CHMP4C/CHMP5/CKAP2/CLIP1/CRACD/CTTN/DIAPH3/EPS8/FCHSD2/FLNA/HAUS1/HAUS7/HAUS8/KATNBL1/LATS1/LMOD1/MAP1A/MAP1S/MAP9/MTPN/OCLN/PDE4DIP/PFDN2/PHLDB1/PPP1R35/PSRC1/RHOA/RNF4/ROCK1/SASS6/SKA1/SKA2/SKA3/SLAIN1/SLAIN2/SPAST/STMN1/TACC3/TMOD3/TPPP/TPX2/TRAF3IP1/VASP/WASF3/WASH6P/WASHC2A/WASHC2C",84
"GO:0120031","plasma membrane bounded cell projection assembly","74/882","280/7601",0.264285714285714,2.27759151279559,7.89177325105408,2.47406370901889e-12,2.21023811195659e-09,2.15474503254131e-09,"B9D1/CARMIL2/CBY1/CCDC28B/CCDC66/CDC42EP1/CEP41/DMTN/ENKD1/IFT57/IFT81/PIBF1/SCLT1/SEPTIN9/WASF2/ABI2/ABL1/ABLIM1/AJUBA/APC/ARFIP2/ASAP1/ATAT1/AUTS2/BIN3/BLOC1S6/BRK1/CARMIL1/CCDC88A/CD2AP/CDC42EP4/CENPJ/CEP128/CEP131/CEP135/CEP164/CEP20/CEP250/CEP290/CEP350/CFAP298/CIBAR1/CNTROB/COBL/CROCC/CTTN/DNAL1/EPS8/FAM161A/FBF1/FLNA/FNBP1L/GORAB/IFT74/KIAA0586/KLC3/MACIR/MARCHF7/OCLN/ODF2/PCM1/PCNT/PPP1R35/ROCK1/SDCCAG8/SHTN1/SNAP29/SRGAP2/TCHP/TPGS1/TRAF3IP1/TTC39C/WASF3/YAP1",74
"GO:0044782","cilium organization","53/882","182/7601",0.291208791208791,2.50961226981635,7.46822155900502,7.56882106547319e-11,4.48662893158883e-08,4.37398185783661e-08,"B9D1/CBY1/CCDC28B/CCDC66/CEP41/ENKD1/IFT57/IFT81/PIBF1/SCLT1/SEPTIN9/ABLIM1/ASAP1/ATAT1/BLOC1S6/CCDC88A/CCDC88C/CENPJ/CEP128/CEP131/CEP135/CEP164/CEP20/CEP250/CEP290/CEP350/CFAP298/CIBAR1/CNTROB/CROCC/DNAL1/FAM161A/FBF1/FLNA/FNBP1L/GORAB/IFT74/KIAA0586/KLC3/MACIR/MARCHF7/ODF2/PCM1/PCNT/PPP1R35/SDCCAG8/SNAP29/SSNA1/TCHP/TPGS1/TRAF3IP1/TTC39C/YAP1",53
"GO:0032886","regulation of microtubule-based process","49/882","167/7601",0.293413173652695,2.52860944777112,7.23656162515054,3.00083988336285e-10,1.60094807777408e-07,1.56075261723114e-07,"EFNA5/SPICE1/STMN3/ABL1/APC/ATAT1/BORCS5/CAMSAP1/CAMSAP2/CCDC88C/CDKN1B/CENPJ/CEP131/CFAP298/CHMP1A/CHMP3/CHMP4A/CHMP4B/CHMP4C/CHMP5/CKAP2/CLIP1/DIAPH3/HAUS1/HAUS7/HAUS8/MAP1A/MAP1S/MAP9/OCLN/PDE4DIP/PHLDB1/PPP1R35/PSRC1/RHOA/RNF4/ROCK1/SASS6/SKA1/SKA2/SKA3/SLAIN1/SLAIN2/SPAST/STMN1/TACC3/TPPP/TPX2/TRAF3IP1",49
"GO:1902903","regulation of supramolecular fiber organization","63/882","247/7601",0.255060728744939,2.19809138230191,6.93530198512524,5.64741814074715e-10,2.73899779826237e-07,2.67022899841451e-07,"CARMIL2/CDC42EP1/DMTN/WASF1/WASF2/ABI2/ABL1/ADD2/APC/ARFIP1/ARFIP2/ARHGEF18/ARPC3/BAIAP2/BIN1/BRK1/CAMSAP1/CAMSAP2/CAPG/CARMIL1/CCDC88A/CCDC88C/CDC42EP4/CDKN1B/CKAP2/CLIP1/CRACD/CTTN/DIAPH3/EPS8/FCHSD2/FLNA/GPX1/HAUS1/HAUS7/HAUS8/LATS1/LMOD1/MAP1A/MAP1S/MTPN/OCLN/PDE4DIP/PFDN1/PFDN2/PFDN5/PFDN6/PSRC1/RHOA/ROCK1/SKA1/SLAIN1/SLAIN2/SPAST/STMN1/TMOD3/TPX2/VASP/VBP1/WASF3/WASH6P/WASHC2A/WASHC2C",63
"GO:0030029","actin filament-based process","93/882","432/7601",0.215277777777778,1.85524533887629,6.63119909436774,9.20667709544428e-10,4.09313519201627e-07,3.99036767794651e-07,"CARMIL2/CDC42EP1/DMTN/EFNA5/GJC1/MRTFA/NAA20/PDLIM2/WASF1/WASF2/ZBED3/ABI1/ABI2/ABL1/ABL2/ADD2/ARFIP1/ARFIP2/ARHGAP17/ARHGEF16/ARHGEF18/ARPC3/AUTS2/BAIAP2/BIN1/BIN3/BLOC1S6/BRK1/CALD1/CAPG/CARMIL1/CCDC88A/CCDC88C/CD2AP/CDC42EP4/CNN2/CNN3/COBL/CRACD/CSRP2/CTTN/DBNL/DIAPH3/ENAH/EPS8/FCHSD2/FLNA/FMN2/FNBP1L/JMY/LATS1/LMOD1/MICAL3/MINK1/MSRB2/MTPN/MYH9/MYL6/NEBL/PACSIN2/PAWR/PCLO/PDLIM1/PDLIM3/PDLIM5/PDLIM7/PHACTR2/PHACTR4/QKI/RHOA/ROCK1/RUFY3/SH3KBP1/SHROOM1/SHTN1/SMTN/SPECC1/SPECC1L/SRGAP2/SRI/STMN1/TAGLN2/TAGLN3/TMOD3/VASP/VPS4A/WASF3/WASH6P/WASHC2A/WASHC2C/WIPF1/WIPF3/ZYX",93
"GO:0051258","protein polymerization","52/882","192/7601",0.270833333333333,2.33401832955404,6.78299320490641,2.01741771858892e-09,8.27917194513222e-07,8.07130441096992e-07,"CARMIL2/CDC42EP1/DMTN/WASF1/ABL1/ADD2/ARPC3/BAIAP2/BIN1/CAMSAP1/CAMSAP2/CAPG/CARMIL1/CD2AP/CDC42EP4/CDKN1B/CENPJ/CHMP3/CHMP4A/CHMP4B/CLIP1/COBL/CRACD/CTTN/DIAPH3/EPS8/FCHSD2/HAUS1/HAUS7/HAUS8/LATS1/LMOD1/MAP7D3/MSRB2/MTPN/NDE1/OCLN/PCNT/PDE4DIP/PSRC1/SKA1/SLAIN1/SLAIN2/SSNA1/STMN1/TMOD3/TPPP/TPX2/UBE2S/VASP/WASF3/WASHC2C",52
