"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-8957275","Post-translational protein phosphorylation","16/184","49/5359",0.326530612244898,9.51020408163265,11.2835522290238,2.41960618106663e-12,1.32929717925471e-09,1.23025863343191e-09,"APLP2/APOA1/APOE/APP/BMP4/C4A/CCN1/F5/GPC3/ITIH2/MFGE8/SERPIND1/SPP2/ADAM10/STC2/TIMP1",16
"R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","16/184","50/5359",0.32,9.32,11.144409321821,3.45271994611614e-12,1.32929717925471e-09,1.23025863343191e-09,"APLP2/APOA1/APOE/APP/BMP4/C4A/CCN1/F5/GPC3/ITIH2/MFGE8/SERPIND1/SPP2/ADAM10/STC2/TIMP1",16
"R-HSA-114608","Platelet degranulation","17/184","65/5359",0.261538461538462,7.61730769230769,10.1204803947163,2.70959197711284e-11,6.95461940792296e-09,6.43646936317682e-09,"APLP2/APOA1/APOH/APP/CLU/F5/ITIH4/OLA1/PROS1/SERPINF2/SPP2/THBS1/TIMP3/TUBA4A/PCDH7/SELENOP/TIMP1",17
"R-HSA-76005","Response to elevated platelet cytosolic Ca2+","17/184","68/5359",0.25,7.28125,9.82848872445253,5.958032533237e-11,1.14692126264812e-08,1.06147053289512e-08,"APLP2/APOA1/APOH/APP/CLU/F5/ITIH4/OLA1/PROS1/SERPINF2/SPP2/THBS1/TIMP3/TUBA4A/PCDH7/SELENOP/TIMP1",17
"R-HSA-76002","Platelet activation, signaling and aggregation","18/184","132/5359",0.136363636363636,3.97159090909091,6.51785696626323,4.29109443854775e-07,6.60828543536353e-05,6.1159388103091e-05,"APLP2/APOA1/APOH/APP/CLU/COL1A1/F5/ITIH4/OLA1/PROS1/SERPINF2/SPP2/THBS1/TIMP3/TUBA4A/PCDH7/SELENOP/TIMP1",18
"R-HSA-977225","Amyloid fiber formation","7/184","21/5359",0.333333333333333,9.70833333333333,7.53894363153566,3.88168295652444e-06,0.00049814931275397,0.000461034975713517,"APOA1/APOE/APP/BACE1/ITM2B/MFGE8/ADAM10",7
"R-HSA-975634","Retinoid metabolism and transport","6/184","16/5359",0.375,10.921875,7.49404410301307,9.07954077704001e-06,0.000847338703577461,0.000784208205498211,"APOA1/APOC3/APOE/GPC3/LDLR/LRP10",6
"R-HSA-166658","Complement cascade","5/184","10/5359",0.5,14.5625,8.09391317506242,9.90395887298331e-06,0.000847338703577461,0.000784208205498211,"C4A/C4BPA/CLU/PROS1/VTN",5
"R-HSA-977606","Regulation of Complement cascade","5/184","10/5359",0.5,14.5625,8.09391317506242,9.90395887298331e-06,0.000847338703577461,0.000784208205498211,"C4A/C4BPA/CLU/PROS1/VTN",5
"R-HSA-6806667","Metabolism of fat-soluble vitamins","6/184","18/5359",0.333333333333333,9.70833333333333,6.97774504542774,1.98710160574716e-05,0.00153006823642531,0.00141607135483245,"APOA1/APOC3/APOE/GPC3/LDLR/LRP10",6
"R-HSA-109582","Hemostasis","25/184","297/5359",0.0841750841750842,2.45159932659933,4.85309733114265,2.27866707747998e-05,0.00159506695423598,0.00147622737938176,"APLP2/APOA1/APOH/APP/CD84/CLU/COL1A1/F5/ITIH4/OLA1/PRKAR1A/PRKAR1B/PROS1/SERPIND1/SERPINF2/SPP2/THBS1/TIMP3/TNFRSF10B/TUBA4A/CAV1/PCDH7/SELENOP/SLC7A8/TIMP1",25
"R-HSA-5173105","O-linked glycosylation","7/184","28/5359",0.25,7.28125,6.28312706430854,3.22196188601402e-05,0.00206742554352567,0.00191339315511535,"ADAMTS1/B4GALT5/B4GALT6/GCNT1/THBS1/C1GALT1C1/GALNT1",7
"R-HSA-8963901","Chylomicron remodeling","3/184","3/5359",1,29.125,9.18730138405364,3.98411795720833e-05,0.0023598237131157,0.00218400636196764,"APOA1/APOC3/APOE",3
"R-HSA-373752","Netrin-1 signaling","6/184","22/5359",0.272727272727273,7.94318181818182,6.15285054690463,7.11960583314647e-05,0.00391578320823056,0.00362403996168433,"NEO1/NTN1/SLIT2/UNC5B/RGMA/ROBO1",6
"R-HSA-1474244","Extracellular matrix organization","13/184","111/5359",0.117117117117117,3.41103603603604,4.83975488442229,9.48797665132822e-05,0.00487049468101515,0.00450762118803453,"ADAMTS1/APP/BMP4/CD151/COL1A1/DDR2/MFAP3/PTPRS/THBS1/VTN/ADAM10/DDR1/TIMP1",13
"R-HSA-913709","O-linked glycosylation of mucins","5/184","16/5359",0.3125,9.1015625,6.11915254710595,0.000145024526230029,0.00664448205954274,0.00614943862516806,"B4GALT5/B4GALT6/GCNT1/C1GALT1C1/GALNT1",5
"R-HSA-8964058","HDL remodeling","3/184","4/5359",0.75,21.84375,7.86287194434682,0.000155325554638661,0.00664448205954274,0.00614943862516806,"APOA1/APOC3/APOE",3
"R-HSA-9840309","Glycosphingolipid biosynthesis","3/184","4/5359",0.75,21.84375,7.86287194434682,0.000155325554638661,0.00664448205954274,0.00614943862516806,"B4GALT5/B4GALT6/UGCG",3
"R-HSA-2187338","Visual phototransduction","6/184","26/5359",0.230769230769231,6.72115384615385,5.51365512278492,0.000195884372832548,0.00793847195163484,0.00734702052119861,"APOA1/APOC3/APOE/GPC3/LDLR/LRP10",6
"R-HSA-428542","Regulation of commissural axon pathfinding by SLIT and ROBO","3/184","5/5359",0.6,17.475,6.94906431345429,0.000378487517885899,0.0138778756558163,0.0128439122610904,"NTN1/SLIT2/ROBO1",3
"R-HSA-8963888","Chylomicron assembly","3/184","5/5359",0.6,17.475,6.94906431345429,0.000378487517885899,0.0138778756558163,0.0128439122610904,"APOA1/APOC3/APOE",3
"R-HSA-140875","Common Pathway of Fibrin Clot Formation","3/184","7/5359",0.428571428571429,12.4821428571429,5.73150931566185,0.00125866774603809,0.0409328591459738,0.0378831792779553,"F5/PROS1/SERPIND1",3
"R-HSA-6783783","Interleukin-10 signaling","3/184","7/5359",0.428571428571429,12.4821428571429,5.73150931566185,0.00125866774603809,0.0409328591459738,0.0378831792779553,"PTGS2/IL10RB/TIMP1",3
