plot_id,plot_title,x_label,y_label,name,ID,x_ratio,y_ratio,x_padj,y_padj,significant_x,significant_y,significance_class,significant_either_axis,combined_abs_ratio
genotype_comparison_100uM,100 uM treatment response: RDH12 vs GFP,RDH12 100 uM vs vehicle log2 ratio,GFP 100 uM vs vehicle log2 ratio,ABCA3,Q99758,-0.42,2.18,0.999855980822395,0.0124716917611377,FALSE,TRUE,Significant on y-axis only,TRUE,2.6
genotype_comparison_100uM,100 uM treatment response: RDH12 vs GFP,RDH12 100 uM vs vehicle log2 ratio,GFP 100 uM vs vehicle log2 ratio,ABCB10,Q9NRK6,-0.327,0.628,0.999855980822395,0.968812246752404,FALSE,FALSE,Not significant,FALSE,0.9550000000000001
genotype_comparison_100uM,100 uM treatment response: RDH12 vs GFP,RDH12 100 uM vs vehicle log2 ratio,GFP 100 uM vs vehicle log2 ratio,ABCB6,Q9NP58,0.623,0.446,0.999855980822395,0.999003043777844,FALSE,FALSE,Not significant,FALSE,1.069
genotype_comparison_100uM,100 uM treatment response: RDH12 vs GFP,RDH12 100 uM vs vehicle log2 ratio,GFP 100 uM vs vehicle log2 ratio,ABHD5,Q8WTS1,-1.51,0.0154,0.999855980822395,0.999003043777844,FALSE,FALSE,Not significant,FALSE,1.5254
genotype_comparison_100uM,100 uM treatment response: RDH12 vs GFP,RDH12 100 uM vs vehicle log2 ratio,GFP 100 uM vs vehicle log2 ratio,ACE2,Q9BYF1,5.12,-2.66,0.442966329794646,0.999003043777844,FALSE,FALSE,Not significant,FALSE,7.78
genotype_comparison_100uM,100 uM treatment response: RDH12 vs GFP,RDH12 100 uM vs vehicle log2 ratio,GFP 100 uM vs vehicle log2 ratio,ACOT13,Q9NPJ3,-0.128,0.083,0.999855980822395,0.999003043777844,FALSE,FALSE,Not significant,FALSE,0.21100000000000002
genotype_comparison_100uM,100 uM treatment response: RDH12 vs GFP,RDH12 100 uM vs vehicle log2 ratio,GFP 100 uM vs vehicle log2 ratio,ACTMAP,Q5BKX5,-0.289,0.102,0.999855980822395,0.999003043777844,FALSE,FALSE,Not significant,FALSE,0.39099999999999996
genotype_comparison_100uM,100 uM treatment response: RDH12 vs GFP,RDH12 100 uM vs vehicle log2 ratio,GFP 100 uM vs vehicle log2 ratio,ADAM9,Q13443,-0.00918,0.0132,0.999855980822395,0.999003043777844,FALSE,FALSE,Not significant,FALSE,0.02238
genotype_comparison_100uM,100 uM treatment response: RDH12 vs GFP,RDH12 100 uM vs vehicle log2 ratio,GFP 100 uM vs vehicle log2 ratio,ADAMTS1,Q9UHI8,-0.169,0.238,0.999855980822395,0.999003043777844,FALSE,FALSE,Not significant,FALSE,0.40700000000000003
genotype_comparison_100uM,100 uM treatment response: RDH12 vs GFP,RDH12 100 uM vs vehicle log2 ratio,GFP 100 uM vs vehicle log2 ratio,ADD1,P35611,-0.119,0.0232,0.999855980822395,0.999003043777844,FALSE,FALSE,Not significant,FALSE,0.1422
genotype_comparison_100uM,100 uM treatment response: RDH12 vs GFP,RDH12 100 uM vs vehicle log2 ratio,GFP 100 uM vs vehicle log2 ratio,ADGRG6,Q86SQ4,-4,1.55,0.0697348582464525,0.999003043777844,FALSE,FALSE,Not significant,FALSE,5.55
genotype_comparison_100uM,100 uM treatment response: RDH12 vs GFP,RDH12 100 uM vs vehicle log2 ratio,GFP 100 uM vs vehicle log2 ratio,AGA,P20933,-2,-2.3,0.0594503109420945,0.0143806187146362,FALSE,TRUE,Significant on y-axis only,TRUE,4.3
genotype_comparison_100uM,100 uM treatment response: RDH12 vs GFP,RDH12 100 uM vs vehicle log2 ratio,GFP 100 uM vs vehicle log2 ratio,AHDC1,Q5TGY3,-0.0281,-0.0619,0.999855980822395,0.999003043777844,FALSE,FALSE,Not significant,FALSE,0.09
genotype_comparison_100uM,100 uM treatment response: RDH12 vs GFP,RDH12 100 uM vs vehicle log2 ratio,GFP 100 uM vs vehicle log2 ratio,AIFM2,Q9BRQ8,-4.69,4.42,0.0163399437141429,0.0228032628411924,TRUE,TRUE,Significant on both axes,TRUE,9.11
genotype_comparison_100uM,100 uM treatment response: RDH12 vs GFP,RDH12 100 uM vs vehicle log2 ratio,GFP 100 uM vs vehicle log2 ratio,AIRIM,Q9NX04,-0.473,-0.388,0.999855980822395,0.999003043777844,FALSE,FALSE,Not significant,FALSE,0.861
genotype_comparison_100uM,100 uM treatment response: RDH12 vs GFP,RDH12 100 uM vs vehicle log2 ratio,GFP 100 uM vs vehicle log2 ratio,AKAP7,Q9P0M2,-5.01,4.28,0.381789101256772,0.624435042388674,FALSE,FALSE,Not significant,FALSE,9.29
genotype_comparison_100uM,100 uM treatment response: RDH12 vs GFP,RDH12 100 uM vs vehicle log2 ratio,GFP 100 uM vs vehicle log2 ratio,AKIRIN2,Q53H80,-0.19,-0.469,0.999855980822395,0.999003043777844,FALSE,FALSE,Not significant,FALSE,0.659
