"Gene","ratio","padj","ratio_round","padj_round","ratio_display","padj_display","direction","miss_1_raw","miss_2_raw","miss_pair","label"
"ABCA3",0.259,0.89817155810144,0.3,0.9,"0.3","0.90","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ABCB10",0.125,0.92619864867852,0.1,0.93,"0.1","0.93","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ABCB6",-0.186,0.976753314690344,-0.2,0.98,"-0.2","0.98","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"ABHD5",-1.69,0.499679294583334,-1.7,0.5,"-1.7","0.50","NS","MNAR_0of3","Present_3of3","MNAR vs Present",NA
"ACE2",4.03,0.355092458742452,4,0.36,"4.0","0.36","NS","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"ACOT13",0.0243,0.988447817688458,0,0.99,"0.0","0.99","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ACTMAP",-0.618,0.244245738153556,-0.6,0.24,"-0.6","0.24","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ADAM9",0.164,0.867518890677416,0.2,0.87,"0.2","0.87","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ADAMTS1",0.336,0.47869431533965,0.3,0.48,"0.3","0.48","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ADD1",0.018,0.985683958546561,0,0.99,"0.0","0.99","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ADGRG6",0.0567,0.994794107228357,0.1,0.99,"0.1","0.99","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"AGA",0.617,0.708799275417738,0.6,0.71,"0.6","0.71","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"AHDC1",0.224,0.76424964709678,0.2,0.76,"0.2","0.76","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AIFM2",-5.23,0.00419723750347423,-5.2,0,"-5.2","<0.01","Down","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"AIRIM",-0.25,0.893528388072052,-0.2,0.89,"-0.2","0.89","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AKAP7",-4.9,0.174244770240441,-4.9,0.17,"-4.9","0.17","NS","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"AKIRIN2",0.657,0.499666299928449,0.7,0.5,"0.7","0.50","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH18A1",1.08,0.179941649615095,1.1,0.18,"1.1","0.18","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALDH1L2",0.643,0.0521009963254327,0.6,0.05,"0.6","0.05","Up","Present_3of3","Present_3of3","Present vs Present",NA
"ALG1",0.355,0.730885493068488,0.4,0.73,"0.4","0.73","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ALKBH8",1.69,0.781106160632375,1.7,0.78,"1.7","0.78","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"AMFR",0.675,0.036060659190397,0.7,0.04,"0.7","0.04","Up","Present_3of3","Present_3of3","Present vs Present",NA
"AMMECR1",6.17,1.54582698221591e-05,6.2,0,"6.2","<0.01","Up","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"AMOT",0.662,0.296407822516347,0.7,0.3,"0.7","0.30","NS","Present_3of3","Present_3of3","Present vs Present",NA
"AMOTL1",0.786,0.0858385815822363,0.8,0.09,"0.8","0.09","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ANAPC16",0.204,0.826099762460519,0.2,0.83,"0.2","0.83","NS","Present_3of3","MAR_2of3","Present vs MAR",NA
"ANAPC4",-0.13,0.874568130681881,-0.1,0.87,"-0.1","0.87","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ANGEL1",-0.00446,0.999676481786007,0,1,"-0.0","1.00","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ANKLE2",0.725,0.0724710897766199,0.7,0.07,"0.7","0.07","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ANXA4",-0.0667,0.934239364523351,-0.1,0.93,"-0.1","0.93","NS","Present_3of3","Present_3of3","Present vs Present",NA
"APLP1",0.31,0.960875666256826,0.3,0.96,"0.3","0.96","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"APLP2",0.291,0.799318337864942,0.3,0.8,"0.3","0.80","NS","Present_3of3","Present_3of3","Present vs Present",NA
"APOA1",0.3,0.791352115036238,0.3,0.79,"0.3","0.79","NS","Present_3of3","Present_3of3","Present vs Present",NA
"APOC3",-0.273,0.924517093872586,-0.3,0.92,"-0.3","0.92","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"APOE",0.219,0.862952524898139,0.2,0.86,"0.2","0.86","NS","Present_3of3","Present_3of3","Present vs Present",NA
"APOH",-0.458,0.886018150181933,-0.5,0.89,"-0.5","0.89","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"APP",0.088,0.956455067815148,0.1,0.96,"0.1","0.96","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ARB2A",0.0363,0.988447817688458,0,0.99,"0.0","0.99","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ARF3",-1.35,0.81533140675876,-1.4,0.82,"-1.4","0.82","NS","MNAR_0of3","MNAR_0of3","MNAR vs MNAR",NA
"ARL5B",7.1,0.000259029047281932,7.1,0,"7.1","<0.01","Up","MAR_1of3","MNAR_0of3","MAR vs MNAR",NA
"ARL6IP1",-0.129,0.956992173018608,-0.1,0.96,"-0.1","0.96","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ARMC7",-0.0507,0.98957806899779,-0.1,0.99,"-0.1","0.99","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ART5",-3.83,5.62959851059357e-10,-3.8,0,"-3.8","<0.01","Down","MNAR_0of3","MAR_1of3","MNAR vs MAR","ART5"
"ASPRV1",0.0336,0.997629284664267,0,1,"0.0","1.00","NS","MAR_1of3","MAR_1of3","MAR vs MAR",NA
"ATAD5",0.542,0.172116076938989,0.5,0.17,"0.5","0.17","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATF3",-1.2,0.089903756693498,-1.2,0.09,"-1.2","0.09","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATF4",-1.78,0.0644894661967567,-1.8,0.06,"-1.8","0.06","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP5MK",0.815,0.0726227453903705,0.8,0.07,"0.8","0.07","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATP6V0D2",0.0883,0.984569478679405,0.1,0.98,"0.1","0.98","NS","MAR_1of3","MAR_1of3","MAR vs MAR",NA
"ATP6V1D",-0.169,0.712370330584935,-0.2,0.71,"-0.2","0.71","NS","Present_3of3","Present_3of3","Present vs Present",NA
"ATR",0.0587,0.984865457073894,0.1,0.98,"0.1","0.98","NS","Present_3of3","Present_3of3","Present vs Present",NA
"B3GALNT2",-5.13,0.0560875114214343,-5.1,0.06,"-5.1","0.06","NS","MNAR_0of3","MAR_1of3","MNAR vs MAR",NA
"B4GALT5",0.474,0.656490797984143,0.5,0.66,"0.5","0.66","NS","MAR_2of3","Present_3of3","MAR vs Present",NA
"B4GALT6",-2.1,0.0825400413768591,-2.1,0.08,"-2.1","0.08","NS","MNAR_0of3","MAR_2of3","MNAR vs MAR",NA
