"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007017","microtubule-based process","86/569","548/7601",0.156934306569343,2.096410657704,7.57879367659882,9.68207728141535e-12,4.62222369414769e-08,4.41706557238464e-08,"BLOC1S4/CCDC66/DNAL4/EFNA5/ENKD1/IFT81/KIF5B/KLC4/KLHL42/KXD1/PCLAF/PIBF1/SAPCD2/SPICE1/SS18/STMN3/ZBED3/ARL3/BAG3/BICD2/BLOC1S1/BLOC1S5/BLOC1S6/BORCS5/BORCS7/CAMSAP2/CCDC88A/CCDC88C/CDKN1B/CDR2L/CENPE/CENPJ/CEP131/CEP135/CEP20/CEP250/CEP350/CEP85/CFAP298/CHMP4A/CLIP1/CLIP2/CRIPT/DAG1/DCTN3/DNAL1/DYNC1I1/DYNLRB1/FAM110A/FLNA/GCC2/GTSE1/HOOK2/HOOK3/IFT74/KATNBL1/KIF5A/KLC1/KLC2/KLC3/KNSTRN/LSM14A/MAP1A/MAP4/MAP7/MAP7D2/MYH9/NCKAP5L/NDC80/NDE1/ODF2/PCNT/PHLDB1/PPP1R35/PSRC1/RHOA/SKA1/SNAPIN/SPDL1/TACC3/TBCB/TPGS1/TPPP/TPPP3/TRAF3IP1/UXT",86
"GO:0097435","supramolecular fiber organization","76/569","465/7601",0.163440860215054,2.18332860895364,7.49079511341652,2.49368821179125e-11,5.95243376154572e-08,5.68823405784384e-08,"BACE1/CARMIL2/CDC42EP1/CDKN2A/FURIN/NAA80/PXN/SDC4/STMN3/TMSB10/VHL/WASF1/WASF2/ZBED3/ARHGEF18/ARPC3/BAIAP2/BAX/BIN1/BIN3/BLOC1S6/CALD1/CAMSAP2/CARMIL1/CCDC88A/CCDC88C/CD2AP/CDC42EP4/CDKN1B/CENPJ/CLIP1/CLIP2/CNN2/CNN3/COL2A1/CRIPT/CSRP2/CTTN/ENAH/FLNA/FLNC/GPX1/HOOK2/HOOK3/KATNBL1/LATS1/LIMCH1/LMOD1/MAP1A/MAP4/MTPN/NCKAP5L/NDE1/PAWR/PCNT/PDLIM1/PFDN5/PFDN6/PSRC1/RFLNB/RHOA/RIPK1/SH3KBP1/SHTN1/SKA1/TAGLN2/TBCB/TPPP/TPPP3/WASF3/WASH6P/WASHC2A/WASHC2C/WIPF1/WIPF3/ZYX",76
"GO:0060271","cilium assembly","37/569","170/7601",0.217647058823529,2.90744339915228,7.15444563706329,1.98932699438833e-09,3.16568235706997e-06,3.0251730504137e-06,"B9D1/CBY1/CCDC28B/CCDC66/CEP41/ENKD1/ENTR1/IFT81/PIBF1/SCLT1/ARL3/BLOC1S6/CCDC88A/CENPJ/CEP131/CEP135/CEP164/CEP20/CEP250/CEP290/CEP350/CFAP298/DNAL1/FLNA/FNBP1L/GORAB/IFT74/KIAA0586/KLC3/MAP4/ODF2/PCNT/PPP1R35/TCHP/TPGS1/TRAF3IP1/TTC39C",37
"GO:0044782","cilium organization","38/569","182/7601",0.208791208791209,2.78914231638309,6.94914533146696,4.13005900439136e-09,4.92922542174109e-06,4.71044098027162e-06,"B9D1/CBY1/CCDC28B/CCDC66/CEP41/ENKD1/ENTR1/IFT81/PIBF1/SCLT1/ARL3/BLOC1S6/CCDC88A/CCDC88C/CENPJ/CEP131/CEP135/CEP164/CEP20/CEP250/CEP290/CEP350/CFAP298/DNAL1/FLNA/FNBP1L/GORAB/IFT74/KIAA0586/KLC3/MAP4/ODF2/PCNT/PPP1R35/TCHP/TPGS1/TRAF3IP1/TTC39C",38
"GO:0120031","plasma membrane bounded cell projection assembly","48/569","280/7601",0.171428571428571,2.29003263871454,6.25630638521013,3.37415129581766e-08,3.2216396572467e-05,3.07864667706815e-05,"B9D1/CARMIL2/CBY1/CCDC28B/CCDC66/CDC42EP1/CEP41/ENKD1/ENTR1/IFT81/PIBF1/SCLT1/WASF2/AJUBA/ARL3/BIN3/BLOC1S6/CARMIL1/CCDC88A/CD2AP/CDC42EP4/CENPJ/CEP131/CEP135/CEP164/CEP20/CEP250/CEP290/CEP350/CFAP298/CTTN/DNAL1/FLNA/FNBP1L/GORAB/IFT74/KIAA0586/KLC3/MAP4/ODF2/PCNT/PPP1R35/SHTN1/TCHP/TPGS1/TRAF3IP1/TTC39C/WASF3",48
"GO:0030031","cell projection assembly","48/569","286/7601",0.167832167832168,2.2419899959443,6.09000216902987,6.69137382807467e-08,5.32410310920474e-05,5.08779195980274e-05,"B9D1/CARMIL2/CBY1/CCDC28B/CCDC66/CDC42EP1/CEP41/ENKD1/ENTR1/IFT81/PIBF1/SCLT1/WASF2/AJUBA/ARL3/BIN3/BLOC1S6/CARMIL1/CCDC88A/CD2AP/CDC42EP4/CENPJ/CEP131/CEP135/CEP164/CEP20/CEP250/CEP290/CEP350/CFAP298/CTTN/DNAL1/FLNA/FNBP1L/GORAB/IFT74/KIAA0586/KLC3/MAP4/ODF2/PCNT/PPP1R35/SHTN1/TCHP/TPGS1/TRAF3IP1/TTC39C/WASF3",48
"GO:0030705","cytoskeleton-dependent intracellular transport","30/569","144/7601",0.208333333333333,2.78302577621558,6.14441151506166,1.94180581595084e-07,0.000132431156647847,0.000126553179042571,"BLOC1S4/CCDC186/IFT81/KIF5B/KXD1/ARL3/BAG3/BICD2/BLOC1S1/BLOC1S5/BLOC1S6/BORCS5/BORCS7/CCDC88A/CCDC88C/CDR2L/CEP131/DYNC1I1/F8A3/FNBP1L/HOOK2/HOOK3/IFT74/KIF5A/KLC3/MAP1A/NDE1/SNAPIN/TRAF3IP1/UXT",30
"GO:0000226","microtubule cytoskeleton organization","60/569","409/7601",0.146699266503667,1.9596856321518,5.67530630185388,2.24027293040108e-07,0.000133688287121685,0.000127754511583662,"CCDC66/EFNA5/ENKD1/PCLAF/PIBF1/SAPCD2/SPICE1/SS18/STMN3/ZBED3/BICD2/CAMSAP2/CCDC88A/CCDC88C/CDKN1B/CENPE/CENPJ/CEP131/CEP135/CEP20/CEP250/CEP350/CEP85/CHMP4A/CLIP1/CLIP2/CRIPT/DAG1/DNAL1/FAM110A/FLNA/GCC2/HOOK2/HOOK3/KATNBL1/KNSTRN/LSM14A/MAP1A/MAP4/MAP7/MAP7D2/MYH9/NCKAP5L/NDC80/NDE1/ODF2/PCNT/PHLDB1/PPP1R35/PSRC1/RHOA/SKA1/SPDL1/TACC3/TBCB/TPGS1/TPPP/TPPP3/TRAF3IP1/UXT",60
"GO:0007015","actin filament organization","43/569","264/7601",0.162878787878788,2.175820152314,5.53104384881846,7.7792073987974e-07,0.00041264373468732,0.000394328477969449,"CARMIL2/CDC42EP1/NAA80/PXN/SDC4/TMSB10/WASF1/WASF2/ZBED3/ARHGEF18/ARPC3/BAIAP2/BIN1/BIN3/BLOC1S6/CALD1/CARMIL1/CCDC88A/CD2AP/CDC42EP4/CNN2/CNN3/CTTN/ENAH/FLNA/LATS1/LIMCH1/LMOD1/MTPN/PAWR/PDLIM1/RFLNB/RHOA/SH3KBP1/SHTN1/TAGLN2/WASF3/WASH6P/WASHC2A/WASHC2C/WIPF1/WIPF3/ZYX",43
"GO:0051495","positive regulation of cytoskeleton organization","25/569","119/7601",0.210084033613445,2.80641254744429,5.64943567768269,1.73864144226363e-06,0.000830027424536657,0.000793186527449534,"CARMIL2/CDC42EP1/PXN/SDC4/WASF1/WASF2/BAIAP2/BIN1/CARMIL1/CCDC88A/CDC42EP4/CDKN1B/CENPJ/CLIP1/CTTN/FLNA/KATNBL1/LIMCH1/LMOD1/PPP1R35/PSRC1/RHOA/SKA1/WASF3/WASHC2C",25
