"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","GeneRatio_num","FoldEnrichment_num"
"R-HSA-5368286","Mitochondrial translation initiation","25/550","86/5359",0.290697674418605,2.83245243128964,5.79306445238984,8.32488840578819e-07,0.000328833092028633,0.000319850975590809,"CHCHD1/GADD45GIP1/KGD4/MRPL12/MRPL17/MRPL28/MRPL30/MRPL32/MRPL37/MRPL40/MRPL41/MRPL42/MRPL43/MRPL49/MRPL50/MRPL52/MRPL54/MRPL55/MRPL58/MRPS16/MRPS18B/MRPS18C/MRPS23/MRPS6/MRPS7",25,"mitochondrial translation initiation",0.0454545454545455,2.83245243128964
"R-HSA-5389840","Mitochondrial translation elongation","25/550","86/5359",0.290697674418605,2.83245243128964,5.79306445238984,8.32488840578819e-07,0.000328833092028633,0.000319850975590809,"CHCHD1/GADD45GIP1/KGD4/MRPL12/MRPL17/MRPL28/MRPL30/MRPL32/MRPL37/MRPL40/MRPL41/MRPL42/MRPL43/MRPL49/MRPL50/MRPL52/MRPL54/MRPL55/MRPL58/MRPS16/MRPS18B/MRPS18C/MRPS23/MRPS6/MRPS7",25,"mitochondrial translation elongation",0.0454545454545455,2.83245243128964
"R-HSA-5419276","Mitochondrial translation termination","25/550","86/5359",0.290697674418605,2.83245243128964,5.79306445238984,8.32488840578819e-07,0.000328833092028633,0.000319850975590809,"CHCHD1/GADD45GIP1/KGD4/MRPL12/MRPL17/MRPL28/MRPL30/MRPL32/MRPL37/MRPL40/MRPL41/MRPL42/MRPL43/MRPL49/MRPL50/MRPL52/MRPL54/MRPL55/MRPL58/MRPS16/MRPS18B/MRPS18C/MRPS23/MRPS6/MRPS7",25,"mitochondrial translation termination",0.0454545454545455,2.83245243128964
"R-HSA-5368287","Mitochondrial translation","25/550","92/5359",0.271739130434783,2.64772727272727,5.39079597490155,3.27894796791024e-06,0.000777110668394726,0.000755883794707729,"CHCHD1/GADD45GIP1/KGD4/MRPL12/MRPL17/MRPL28/MRPL30/MRPL32/MRPL37/MRPL40/MRPL41/MRPL42/MRPL43/MRPL49/MRPL50/MRPL52/MRPL54/MRPL55/MRPL58/MRPS16/MRPS18B/MRPS18C/MRPS23/MRPS6/MRPS7",25,"mitochondrial translation",0.0454545454545455,2.64772727272727
"R-HSA-8854518","AURKA Activation by TPX2","20/550","64/5359",0.3125,3.04488636363636,5.5652092006747,3.07704369205385e-06,0.000777110668394726,0.000755883794707729,"CEP41/HMMR/CENPJ/CEP131/CEP135/CEP164/CEP250/CEP290/CEP57/DCTN3/HAUS1/HAUS7/HAUS8/NDE1/ODF2/PCM1/PCNT/SDCCAG8/SSNA1/TPX2",20,"aurka activation by tpx2",0.0363636363636364,3.04488636363636
"R-HSA-5620912","Anchoring of the basal body to the plasma membrane","21/550","73/5359",0.287671232876712,2.80296388542964,5.24493595067847,7.61534769267397e-06,0.00150403116930311,0.00146294837254,"B9D1/CEP41/SCLT1/CENPJ/CEP131/CEP135/CEP164/CEP250/CEP290/CEP57/DCTN3/FBF1/HAUS1/HAUS7/HAUS8/NDE1/ODF2/PCM1/PCNT/SDCCAG8/SSNA1",21,"anchoring of the basal body to the plasma membrane",0.0381818181818182,2.80296388542964
"R-HSA-195258","RHO GTPase Effectors","43/550","216/5359",0.199074074074074,1.93970538720539,4.76722490067783,1.13273198096632e-05,0.00179517374744846,0.00174613835527965,"KIF5B/KLC4/MRTFA/SFN/WASF1/WASF2/ABI1/ABI2/ABL1/ARPC3/BAIAP2/BRK1/BUB1B/CDC25C/CDKN1B/CENPE/CLIP1/CTTN/DIAPH3/DYNC1I1/DYNC1LI1/FLNA/KIF5A/KLC1/KLC2/KLC3/MYH9/MYL6/NDC80/NDE1/PIN1/PPP1R12A/RHOA/ROCK1/SKA1/SKA2/SPDL1/SRGAP2/WASF3/WIPF1/WIPF2/WIPF3/ZWINT",43,"rho gtpase effectors",0.0781818181818182,1.93970538720539
"R-HSA-2565942","Regulation of PLK1 Activity at G2/M Transition","21/550","75/5359",0.28,2.72821818181818,5.0968647332944,1.21193164384706e-05,0.00179517374744846,0.00174613835527965,"CEP41/AJUBA/CCNB1/CENPJ/CEP131/CEP135/CEP164/CEP250/CEP290/CEP57/DCTN3/HAUS1/HAUS7/HAUS8/NDE1/ODF2/PCM1/PCNT/PPP1R12A/SDCCAG8/SSNA1",21,"regulation of plk1 activity at g2/m transition",0.0381818181818182,2.72821818181818
"R-HSA-380270","Recruitment of mitotic centrosome proteins and complexes","20/550","71/5359",0.28169014084507,2.74468629961588,5.0044472133356,1.77106970234533e-05,0.00190792508843565,0.00185580987949104,"CEP41/CENPJ/CEP131/CEP135/CEP164/CEP250/CEP290/CEP57/DCTN3/HAUS1/HAUS7/HAUS8/MZT2A/MZT2B/NDE1/ODF2/PCM1/PCNT/SDCCAG8/SSNA1",20,"recruitment of mitotic centrosome proteins and complexes",0.0363636363636364,2.74468629961588
"R-HSA-380287","Centrosome maturation","20/550","71/5359",0.28169014084507,2.74468629961588,5.0044472133356,1.77106970234533e-05,0.00190792508843565,0.00185580987949104,"CEP41/CENPJ/CEP131/CEP135/CEP164/CEP250/CEP290/CEP57/DCTN3/HAUS1/HAUS7/HAUS8/MZT2A/MZT2B/NDE1/ODF2/PCM1/PCNT/SDCCAG8/SSNA1",20,"centrosome maturation",0.0363636363636364,2.74468629961588
