"name","Gene","ID","p.val","p.adj","ratio"
"ACTMAP","ACTMAP","Q5BKX5",0.00130988930952009,0.0150618557890389,-0.84
"AIRIM","AIRIM","Q9NX04",3.73662361441183e-06,0.000234969402128131,-2.69
"AKIRIN2","AKIRIN2","Q53H80",0.000226925869378351,0.00492325154346724,-1.51
"ARMC7","ARMC7","Q9H6L4",8.21955261888237e-06,0.000459438743259613,-2.93
"ATP5MK","ATP5MK","Q96IX5",0.00175312910715958,0.0179308076865576,-0.799
"ATP6V0D2","ATP6V0D2","Q8N8Y2",1.30636103878337e-09,3.89440740783976e-07,-6.36
"B9D1","B9D1","Q9UPM9",1.59234584822968e-09,4.27226391080023e-07,-5.58
"BCL2L12","BCL2L12","Q9HB09",1.68355768609737e-10,6.77547790769888e-08,-6.75
"BLOC1S4","BLOC1S4","Q9NUP1",8.16004179616457e-07,7.37979510307064e-05,-1.69
"BMP4","BMP4","P12644",6.58213116976648e-07,6.2328910335824e-05,-5.8
"BOD1","BOD1","Q96IK1",6.14204787566655e-08,8.37921073749832e-06,-3.78
"BRI3","BRI3","O95415",1.06748851392709e-08,1.95277614740891e-06,-5.51
"C1orf198","C1orf198","Q9H425",9.47709320013753e-06,0.00051541299437775,-1.48
"C8orf88","C8orf88","P0DMB2",0.000118020037199693,0.00321100686194955,-5.36
"CAMKK1","CAMKK1","Q8N5S9",1.03735316504556e-05,0.000552957326188855,-1.33
"CARMIL2","CARMIL2","Q6F5E8",0.000223287634815399,0.00491049773942391,-1.5
"CBY1","CBY1","Q9Y3M2",4.78541704460922e-05,0.00167036042886981,-1.71
"CCDC120","CCDC120","Q96HB5",6.93988823442062e-06,0.000390623499292668,-5.41
"CCDC18","CCDC18","Q5T9S5",1.09732145918995e-09,3.53293617000797e-07,-4.05
"CCDC186","CCDC186","Q7Z3E2",4.3193605903139e-06,0.000258939449795215,-1.18
"CCDC28B","CCDC28B","Q9BUN5",9.54414025382888e-10,3.34003412622038e-07,-3.36
"CCDC66","CCDC66","A2RUB6",0.000241850209500821,0.00516353404846712,-2.45
"CD81","CD81","P60033",0.00523005816713616,0.0349931323252526,-0.977
"CDC42EP1","CDC42EP1","Q00587",0.00133474798623837,0.0151895388839293,-0.954
"CDCA7L","CDCA7L","Q96GN5",0.000461510499781536,0.00742725647810527,-0.803
"CDKN2A","CDKN2A","P42771",3.58873605681e-06,0.000227446744261918,-1.25
"CEBPZOS","CEBPZOS","A8MTT3",2.29767129829935e-11,1.15587226750072e-08,-4.78
"CENPX","CENPX","A8MT69",2.18754534145837e-06,0.000167742883067367,-2.17
"CEP170B","CEP170B","Q9Y4F5",3.30736460743868e-05,0.0013310488862637,-1.06
"CEP41","CEP41","Q9BYV8",1.68818295616141e-05,0.000799304977302539,-1
"CFAP97","CFAP97","Q9P2B7",0.00135316004012941,0.0152757155161314,-1.16
"CKS1B","CKS1B","P61024",8.87044391523202e-05,0.00257480083169831,-1.27
"CKS2","CKS2","P33552",2.30200709954715e-06,0.000169989496736285,-1.51
"CNEP1R1","CNEP1R1","Q8N9A8",2.47636379806463e-06,0.000176524269459296,-5.77
"CNOT9","CNOT9","Q92600",1.18401429819258e-07,1.46617401325416e-05,-2.48
"COLEC12","COLEC12","Q5KU26",4.0776093184751e-05,0.00156288940020981,-1.16
"COMMD3","COMMD3","Q9UBI1",6.47122815733598e-06,0.000369410747790052,-1.33
"COMMD5","COMMD5","Q9GZQ3",4.22512750538343e-06,0.000257636752203267,-5.31
"COMMD8","COMMD8","Q9NX08",1.36073978662657e-10,5.76452344345118e-08,-4.71
"COMMD9","COMMD9","Q9P000",3.03074986627128e-06,0.000206733098928962,-1.01
"COX6A1","COX6A1","P12074",0.00654280125374674,0.0406037064698593,-1.25
"CYREN","CYREN","Q9BWK5",2.442748136956e-06,0.000176524269459296,-3.8
"DACT1","DACT1","Q9NYF0",0.000277546736708567,0.00555714846708272,-3.45
"DGCR6","DGCR6","Q14129",8.23901765292139e-09,1.61745983142352e-06,-4.31
"DGCR6L","DGCR6L","Q9BY27",3.15815285838173e-07,3.43513139961008e-05,-3.91
"DNAL4","DNAL4","O96015",1.5060468149686e-09,4.18005890126975e-07,-2.42
"DOLK","DOLK","Q9UPQ8",6.99865987183275e-09,1.44441572585594e-06,-5.43
"EHD3","EHD3","Q9NZN3",2.45960566508662e-05,0.00106437451603668,-4.83
"EIF1","EIF1","P41567",1.30981825530672e-06,0.000112156671669828,-2.2
"EIF1B","EIF1B","O60739",1.66597817215685e-06,0.000136831207221332,-1.62
"EIF4ENIF1","EIF4ENIF1","Q9NRA8",6.71586700683771e-06,0.000380676151676315,-1.31
"EIF5","EIF5","P55010",8.14235473303197e-05,0.00241836949247876,-0.875
"ENKD1","ENKD1","Q9H0I2",2.41861548082341e-08,3.89348720102952e-06,-3.33
"ENTR1","ENTR1","Q96C92",4.64851010606909e-08,6.8028832443182e-06,-5.93
"ERRFI1","ERRFI1","Q9UJM3",9.82108596376083e-09,1.83837025400723e-06,-6.01
"ETAA1","ETAA1","Q9NY74",1.07072764955094e-07,1.34660732050555e-05,-3.45
"FAM89A","FAM89A","Q96GI7",2.0443447237414e-05,0.000909112192342241,-1.58
"FANCE","FANCE","Q9HB96",1.68539449596802e-11,9.04382686536439e-09,-3.36
