"name","Gene","ID","p.val","p.adj","ratio"
"AMMECR1","AMMECR1","Q9Y4X0",4.80130134866415e-08,1.54582698221591e-05,6.17
"ARL5B","ARL5B","Q96KC2",1.44816835975735e-06,0.000259029047281932,7.1
"CLTCL1","CLTCL1","P53675",1.48323682795374e-07,4.05642628872749e-05,5.74
"COQ9","COQ9","O75208",6.72423946000315e-05,0.00668190165599573,1.01
"EEF1AKMT1","EEF1AKMT1","Q8WVE0",3.69585543077087e-06,0.00057207577619759,5.7
"EFNA5","EFNA5","P52803",6.28703398695167e-09,2.81135203116522e-06,5.12
"ENTPD6","ENTPD6","O75354",2.8027769311778e-08,9.80850066045656e-06,4.76
"ERC2","ERC2","O15083",1.7526659118397e-07,4.4085024763743e-05,4.72
"FAM174B","FAM174B","Q3ZCQ3",3.81456107918742e-07,7.87266721189218e-05,5.87
"FGFR3","FGFR3","P22607",6.10625141226104e-06,0.000833037586733714,5.19
"FN1","FN1","P02751",2.84581097656484e-12,4.58118651007408e-09,5.64
"FURIN","FURIN","P09958",1.83252763622301e-05,0.00213768332521146,3.37
"FUT8","FUT8","Q9BYC5",2.45312237659552e-07,5.80740647329922e-05,3.73
"GTF3C6","GTF3C6","Q969F1",2.03171591466705e-06,0.000355506117329458,4.17
"H1-6","H1-6","P22492",0.000100782652266692,0.00965713771541191,5.18
"HGFAC","HGFAC","Q04756",4.51954089761457e-08,1.51574102853749e-05,3.66
"HIGD2A","HIGD2A","Q9BW72",2.35854093158974e-06,0.00040391267996523,3.73
"IER3IP1","IER3IP1","Q9Y5U9",1.40442917845778e-06,0.000256914783122878,5.68
"KXD1","KXD1","Q9BQD3",3.6392138060319e-07,7.70842945388178e-05,4.11
"LIFR","LIFR","P42702",8.44223525809245e-10,4.85368225659901e-07,6.62
"LMBRD1","LMBRD1","Q9NUN5",5.473357260906e-10,3.41054063099617e-07,6.34
"MAFK","MAFK","O60675",2.9405614632287e-06,0.000464089788578976,3.42
"MPPED2","MPPED2","Q15777",1.73538220542465e-07,4.4085024763743e-05,5.38
"MXI1","MXI1","P50539",5.29904840503172e-05,0.00546821033488466,1.24
"NAXD","NAXD","Q8IW45",1.36248238715165e-08,5.22220034961124e-06,4.11
"NBDY","NBDY","A0A0U1RRE5",2.53564214794777e-06,0.000417315903953614,5.72
"NDUFAF8","NDUFAF8","A1L188",5.50692409483136e-06,0.00076422813860858,5.22
"NKX2-1","NKX2-1","P43699",5.42524532488161e-05,0.00552756957214836,6.37
"OXLD1","OXLD1","Q5BKU9",3.77994621904014e-05,0.00411145771852082,5.11
"PAM","PAM","P19021",3.72990825108651e-11,3.75275393912441e-08,3.24
"PODXL","PODXL","O00592",1.93922814637673e-11,2.60147455836438e-08,6.01
"PROS1","PROS1","P07225",4.28751542268443e-06,0.00063907799328124,3.08
"RBAK","RBAK","Q9NYW8",5.10547159768289e-05,0.00533687544022722,4.96
"RDH12","RDH12","Q96NR8",4.74765221679839e-17,3.82138526930102e-13,12.8
"RTKN","RTKN","Q9BST9",1.63203494314933e-15,6.56812462870446e-12,4.59
"SDC4","SDC4","P31431",6.15155518261756e-05,0.00618923345811109,3.76
"SLC39A7","SLC39A7","Q92504",6.59192404903969e-06,0.000869809781487221,6.41
"ST3GAL6","ST3GAL6","Q9Y274",4.63390795783943e-10,3.39075683205905e-07,2.24
"STK32C","STK32C","Q86UX6",1.90871302789768e-08,6.9832868916129e-06,2.37
"STRADA","STRADA","Q7RTN6",3.88294552012037e-06,0.000589694877197148,6.32
"TANGO2","TANGO2","Q6ICL3",1.78641381565682e-10,1.59764942246908e-07,7.09
"TGDS","TGDS","O95455",1.39262288543406e-06,0.000256914783122878,5.46
"TMEM132A","TMEM132A","Q24JP5",7.470420071075e-06,0.000969829212130366,4.73
"TNFRSF1A","TNFRSF1A","P19438",2.56030334505891e-07,5.88796617839405e-05,5.99
"TTC3","TTC3","P53804",6.99854318338713e-08,2.08634348455863e-05,2.67
"ZNF799","ZNF799","Q96GE5",2.59234627875273e-06,0.000417315903953614,6.23
"ZSCAN5A","ZSCAN5A","Q9BUG6",5.30391329931103e-06,0.000748968388529026,5.12
