"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Description_lower","GeneRatio_num","FoldEnrichment_num"
"GO:0044255","cellular lipid metabolic process","62/516","439/7601",0.14123006833713,2.08040649114443,6.29309091903336,1.48368491711154e-08,3.61944935529361e-05,3.48431689481668e-05,"ABCA3/CREM/EFR3A/HDHD5/MFSD8/MTMR12/NUDT8/PDK2/PDSS1/TMEM38B/TRIB3/ABHD16A/ACAD9/ACOX3/AGPAT3/AGPAT4/CLN6/CTDNEP1/DAGLB/DDHD1/DDHD2/DGKE/EPHX1/ERLIN1/FADS1/FASN/FDPS/GPAT4/GPCPD1/IMPA2/INPP5K/KAT5/MGST2/MGST3/MLYCD/NUDT19/PCCA/PDK1/PECR/PEDS1/PHB2/PIGG/PIGU/PRKAG1/PTDSS1/PTEN/PTPMT1/RDH11/RDH14/RGN/SACM1L/SCD/SCD5/SESN2/SGPL1/SLC30A5/SPTLC1/SPTLC2/TM9SF2/TYSND1/UGCG/VAC14",62,"cellular lipid metabolic process",0.12015503875969,2.08040649114443
"GO:0055085","transmembrane transport","64/516","501/7601",0.127744510978044,1.88175586810874,5.51061115273667,3.94155896738925e-07,0.000641028873396406,0.000617096003947047,"ABCA3/CRBN/GHITM/GNB2/MFSD8/ORAI1/SLC39A7/SLC46A3/TIMM23/TMEM38B/TRIB3/ZDHHC13/ABCB1/ANO10/ATP11C/ATP13A1/ATP1A1/ATP2A2/ATP5F1A/ATP5F1C/ATP7A/CACNB3/EXOC4/FYN/INPP5K/LRRC8E/MCU/MEF2A/MICU2/PHB2/PRKACA/PRKCE/SEC61A1/SESN2/SLC12A2/SLC16A1/SLC19A1/SLC23A2/SLC25A1/SLC25A14/SLC25A15/SLC25A19/SLC25A21/SLC2A1/SLC30A5/SLC30A7/SLC31A1/SLC35E1/SLC37A3/SLC37A4/SLC38A9/SLC6A15/SLC6A9/SLC7A5/SLC7A6/SLC7A8/SLC9A6/TAP1/TCAF1/TIMM50/TMBIM6/TMEM63B/USP9X/WWP2",64,"transmembrane transport",0.124031007751938,1.88175586810874
"GO:1905039","carboxylic acid transmembrane transport","15/516","62/7601",0.241935483870968,3.56385971492873,5.47009603759844,1.15550428925806e-05,0.00939617571215013,0.0090453686643324,"ABCB1/LRRC8E/SLC16A1/SLC19A1/SLC23A2/SLC25A1/SLC25A15/SLC25A21/SLC2A1/SLC38A9/SLC6A15/SLC6A9/SLC7A5/SLC7A6/SLC7A8",15,"carboxylic acid transmembrane transport",0.0290697674418605,3.56385971492873
"GO:0042908","xenobiotic transport","7/516","16/7601",0.4375,6.44464631782946,5.88319971967326,4.2557152608885e-05,0.0230707052865278,0.0222093584726134,"ABCA3/ABCB1/SLC19A1/SLC2A1/SLC31A1/SLC37A3/SLC7A5",7,"xenobiotic transport",0.0135658914728682,6.44464631782946
"GO:0006488","dolichol-linked oligosaccharide biosynthetic process","7/516","17/7601",0.411764705882353,6.06554947560419,5.64239621733205,6.81391923400609e-05,0.0302228290388325,0.0290944570546748,"ALG1/ALG11/ALG2/ALG3/ALG5/ALG8/ALG9",7,"dolichol-linked oligosaccharide biosynthetic process",0.0135658914728682,6.06554947560419
"GO:0044283","small molecule biosynthetic process","38/516","304/7601",0.125,1.84132751937985,4.04009365735749,0.000163682085706897,0.0505227425527356,0.0486364715095427,"PDK2/PDSS1/TK2/TRIB3/UROS/ACSS3/COQ5/DAGLB/DHCR7/ERLIN1/FADS1/FASN/FDPS/G6PC3/GLS/GNE/IMPA2/MGST2/MGST3/MLYCD/MTHFD1/MTHFD1L/NSDHL/OGT/PECR/PRKACA/PRKAG1/PYCR1/RGN/SCD/SCD5/SESN2/SLC25A19/SLC37A4/SPTLC1/SPTLC2/SYK/THTPA",38,"small molecule biosynthetic process",0.0736434108527132,1.84132751937985
"GO:0038202","TORC1 signaling","14/516","72/7601",0.194444444444444,2.86428725236865,4.28915903307319,0.000283787978934155,0.0579241444369182,0.0557615414024722,"CASTOR2/MFSD8/RPS6KA4/USP32/OGT/PRKACA/PRKACB/RPS6KA5/RRAGA/SESN2/SLC38A9/SYK/TSC2/WDR59",14,"torc1 signaling",0.0271317829457364,2.86428725236865
"GO:0150104","transport across blood-brain barrier","9/516","33/7601",0.272727272727273,4.01744186046512,4.68777802498959,0.000252448132639406,0.0579241444369182,0.0557615414024722,"ABCB1/SLC12A2/SLC16A1/SLC19A1/SLC2A1/SLC6A9/SLC7A5/SLC7A8/TFRC",9,"transport across blood-brain barrier",0.0174418604651163,4.01744186046512
"GO:0003091","renal water homeostasis","5/516","10/7601",0.5,7.36531007751938,5.43540348536465,0.000267646421271625,0.0579241444369182,0.0557615414024722,"PRKACG/AKAP11/INPP5K/PRKACA/PRKACB",5,"renal water homeostasis",0.00968992248062015,7.36531007751938
"GO:0048878","chemical homeostasis","47/516","415/7601",0.113253012048193,1.66828710189596,3.77837658144249,0.000306796546660104,0.0583897681087364,0.0562097809734915,"ABCA3/BNIP3/GHITM/PDK2/PRKACG/SLC39A7/TMEM38B/WNT5A/AKAP11/ATP13A1/ATP1A1/ATP2A2/ATP7A/CDK16/CLN6/GLS/HPS6/INPP5K/KAT5/LDAH/LDLRAP1/MCU/MED13/MICU2/OGT/PRKACA/PRKACB/PRKCE/RGN/RRAGA/SESN2/SLC12A2/SLC16A1/SLC30A5/SLC30A7/SLC31A1/SLC37A4/SLC9A6/SOAT1/SOX4/STAT3/SYPL2/TFRC/THADA/TIAM1/TMBIM6/TMEM63B",47,"chemical homeostasis",0.0910852713178295,1.66828710189596
"GO:2001294","malonyl-CoA catabolic process","3/516","3/7601",1,14.7306201550388,6.41893318876037,0.000311156788445818,0.0583897681087364,0.0562097809734915,"NUDT8/MLYCD/NUDT19",3,"malonyl-coa catabolic process",0.00581395348837209,14.7306201550388
